RECORD CODE,CLIENT TYPE,CLIENT NUMBER,ACCOUNT NUMBER,SUBACCOUNT NUMBER,OPPOSITE PARTY CODE,PRODUCT GROUP CODE,EXCHANGE CODE,SYMBOL,EXPIRATION DATE,CURRENCY CODE,MOVEMENT CODE,BUY SELL CODE,QUANTTTY LONG SIGN,QUANTITY LONG,QUANTITY SHORT SIGN,QUANTITY SHORT,EXCH/BROKER FEE / DEC,EXCH/BROKER FEE / DC,EXCH/BROKER FEE CUR CODE,CLEARING FEE / DEC,CLEARING FEE D C,CLEARING FEE CUR CODE,COMMISSION,COMMISSION D C,COMMISSION CUR CODE,TRANSACTION DATE,FUTURE REFERENCE,TICKET NUMBER,EXTERNAL NUMBER,TRANSACTION PRICE / DEC,TRADER INITIALS,OPPOSITE TRADER ID,OPEN CLOSE CODE
315,"CL  ",4321,0003,0001,"FCC   ",FU,"CME ","N1    ",20100910,JPY,01,S," ",0000000000," ",0000000003,000000000000,D,USD,000000000015,D,USD,000000000000,D,JPY,20100819,059616,"      ",000449,000093350000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,000014,"0     ",767061,000091900000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,000025,"0     ",767311,000091750000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,000026,"0     ",767323,000091800000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,000784,"0     ",681478,000093450000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,000796,"0     ",681510,000093400000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001101,"0     ",687136,000092750000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001190,"0     ",687756,000092650000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001192,"0     ",687766,000092600000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001210,"0     ",687844,000092600000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001226,"0     ",687950,000092550000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001228,"0     ",687956,000092550000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001238,"0     ",688032,000092500000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001240,"0     ",688058,000092500000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001245,"0     ",688098,000092500000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001253,"0     ",688158,000092450000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001255,"0     ",688162,000092450000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001312,"0     ",689000,000092250000000,"      ","       ",O
